,datetime,trading_date,high,total_turnover,volume,open_interest,open,close,low,sid,de_listed_date,maturity_date,option_type,strike_price,listed_date
0,2017-09-20 09:31:00,2017-09-20,0.0884,0.0,0.0,13899.0,0.0884,0.0884,0.0884,10000959,2017-12-27,2017-12-27,C,2.7,2017-07-14
1,2017-09-20 09:32:00,2017-09-20,0.0876,31994.0,37.0,13925.0,0.0875,0.0857,0.0857,10000959,2017-12-27,2017-12-27,C,2.7,2017-07-14
2,2017-09-20 09:33:00,2017-09-20,0.0869,869.0,1.0,13926.0,0.0857,0.0869,0.0857,10000959,2017-12-27,2017-12-27,C,2.7,2017-07-14
3,2017-09-20 09:34:00,2017-09-20,0.0869,9494.0,11.0,13928.0,0.0869,0.0863,0.0863,10000959,2017-12-27,2017-12-27,C,2.7,2017-07-14
4,2017-09-20 09:35:00,2017-09-20,0.0863,15437.0,18.0,13925.0,0.0863,0.086,0.0854,10000959,2017-12-27,2017-12-27,C,2.7,2017-07-14
5,2017-09-20 09:36:00,2017-09-20,0.086,20505.0,24.0,13930.0,0.086,0.0853,0.0848,10000959,2017-12-27,2017-12-27,C,2.7,2017-07-14
6,2017-09-20 09:37:00,2017-09-20,0.0857,3426.0,4.0,13934.0,0.0853,0.0856,0.0853,10000959,2017-12-27,2017-12-27,C,2.7,2017-07-14
7,2017-09-20 09:38:00,2017-09-20,0.0865,10355.0,12.0,13935.0,0.0856,0.0861,0.0856,10000959,2017-12-27,2017-12-27,C,2.7,2017-07-14
8,2017-09-20 09:39:00,2017-09-20,0.0873,26861.0,31.0,13955.0,0.0861,0.086,0.086,10000959,2017-12-27,2017-12-27,C,2.7,2017-07-14
9,2017-09-20 09:40:00,2017-09-20,0.0863,28375.0,33.0,13975.0,0.086,0.0859,0.0857,10000959,2017-12-27,2017-12-27,C,2.7,2017-07-14
10,2017-09-20 09:41:00,2017-09-20,0.0859,54277.0,64.0,14017.0,0.0859,0.0848,0.0842,10000959,2017-12-27,2017-12-27,C,2.7,2017-07-14
11,2017-09-20 09:42:00,2017-09-20,0.0848,9307.0,11.0,14027.0,0.0848,0.0845,0.0845,10000959,2017-12-27,2017-12-27,C,2.7,2017-07-14
12,2017-09-20 09:43:00,2017-09-20,0.085,26299.0,31.0,14056.0,0.0845,0.0849,0.0845,10000959,2017-12-27,2017-12-27,C,2.7,2017-07-14
13,2017-09-20 09:44:00,2017-09-20,0.085,21899.0,26.0,14067.0,0.0849,0.0837,0.0837,10000959,2017-12-27,2017-12-27,C,2.7,2017-07-14
14,2017-09-20 09:45:00,2017-09-20,0.0847,32851.0,39.0,14069.0,0.0837,0.0847,0.0837,10000959,2017-12-27,2017-12-27,C,2.7,2017-07-14
15,2017-09-20 09:46:00,2017-09-20,0.0848,18544.0,22.0,14085.0,0.0848,0.0842,0.0841,10000959,2017-12-27,2017-12-27,C,2.7,2017-07-14
16,2017-09-20 09:47:00,2017-09-20,0.0854,64905.0,77.0,14124.0,0.0842,0.0854,0.0839,10000959,2017-12-27,2017-12-27,C,2.7,2017-07-14
17,2017-09-20 09:48:00,2017-09-20,0.0856,62998.0,74.0,14177.0,0.0855,0.0852,0.0847,10000959,2017-12-27,2017-12-27,C,2.7,2017-07-14
18,2017-09-20 09:49:00,2017-09-20,0.0858,37652.0,44.0,14201.0,0.0852,0.0855,0.0852,10000959,2017-12-27,2017-12-27,C,2.7,2017-07-14
19,2017-09-20 09:50:00,2017-09-20,0.0855,8534.0,10.0,14211.0,0.0855,0.0855,0.0853,10000959,2017-12-27,2017-12-27,C,2.7,2017-07-14
20,2017-09-20 09:51:00,2017-09-20,0.0859,15450.0,18.0,14227.0,0.0858,0.0857,0.0857,10000959,2017-12-27,2017-12-27,C,2.7,2017-07-14
21,2017-09-20 09:52:00,2017-09-20,0.0859,1718.0,2.0,14227.0,0.0857,0.0859,0.0857,10000959,2017-12-27,2017-12-27,C,2.7,2017-07-14
22,2017-09-20 09:53:00,2017-09-20,0.0863,4312.0,5.0,14230.0,0.0859,0.0862,0.0859,10000959,2017-12-27,2017-12-27,C,2.7,2017-07-14
23,2017-09-20 09:54:00,2017-09-20,0.0862,15320.0,18.0,14239.0,0.0862,0.0848,0.0848,10000959,2017-12-27,2017-12-27,C,2.7,2017-07-14
24,2017-09-20 09:55:00,2017-09-20,0.0848,24519.0,29.0,14233.0,0.0848,0.0845,0.0844,10000959,2017-12-27,2017-12-27,C,2.7,2017-07-14
25,2017-09-20 09:56:00,2017-09-20,0.0846,63225.0,75.0,14273.0,0.0845,0.0843,0.0841,10000959,2017-12-27,2017-12-27,C,2.7,2017-07-14
26,2017-09-20 09:57:00,2017-09-20,0.0843,38717.0,46.0,14317.0,0.0841,0.0842,0.0841,10000959,2017-12-27,2017-12-27,C,2.7,2017-07-14
27,2017-09-20 09:58:00,2017-09-20,0.0846,62323.0,74.0,14318.0,0.0842,0.0846,0.084,10000959,2017-12-27,2017-12-27,C,2.7,2017-07-14
28,2017-09-20 09:59:00,2017-09-20,0.0853,14444.0,17.0,14315.0,0.0853,0.0849,0.0848,10000959,2017-12-27,2017-12-27,C,2.7,2017-07-14
29,2017-09-20 10:00:00,2017-09-20,0.0852,19586.0,23.0,14337.0,0.0849,0.0851,0.0849,10000959,2017-12-27,2017-12-27,C,2.7,2017-07-14
30,2017-09-20 10:01:00,2017-09-20,0.0851,3400.0,4.0,14337.0,0.0851,0.085,0.085,10000959,2017-12-27,2017-12-27,C,2.7,2017-07-14
31,2017-09-20 10:02:00,2017-09-20,0.086,16294.0,19.0,14356.0,0.085,0.086,0.085,10000959,2017-12-27,2017-12-27,C,2.7,2017-07-14
32,2017-09-20 10:03:00,2017-09-20,0.086,15475.0,18.0,14366.0,0.086,0.0858,0.0858,10000959,2017-12-27,2017-12-27,C,2.7,2017-07-14
