datetime,trading_date,high,total_turnover,volume,open_interest,open,close,low,sid
2016-01-07 09:31:00,2016-01-07,0.1523,1523.0,1.0,4906.0,0.1523,0.1523,0.1511,10000328
2016-01-07 09:32:00,2016-01-07,0.1523,0.0,0.0,4906.0,0.1523,0.1523,0.1523,10000328
2016-01-07 09:33:00,2016-01-07,0.1523,0.0,0.0,4906.0,0.1523,0.1523,0.1523,10000328
2016-01-07 09:34:00,2016-01-07,0.1523,0.0,0.0,4906.0,0.1523,0.1523,0.1523,10000328
2016-01-07 09:35:00,2016-01-07,0.1523,0.0,0.0,4906.0,0.1523,0.1523,0.1523,10000328
2016-01-07 09:36:00,2016-01-07,0.1648,16480.0,10.0,4906.0,0.1523,0.1648,0.1523,10000328
2016-01-07 09:37:00,2016-01-07,0.1726,3452.0,2.0,4906.0,0.1648,0.1726,0.1648,10000328
2016-01-07 09:38:00,2016-01-07,0.1726,0.0,0.0,4906.0,0.1726,0.1726,0.1726,10000328
2016-01-07 09:39:00,2016-01-07,0.1726,0.0,0.0,4906.0,0.1726,0.1726,0.1726,10000328
2016-01-07 09:40:00,2016-01-07,0.1837,23818.0,13.0,4901.0,0.1726,0.1837,0.1726,10000328
2016-01-07 09:41:00,2016-01-07,0.1837,0.0,0.0,4901.0,0.1837,0.1837,0.1837,10000328
2016-01-07 09:42:00,2016-01-07,0.1936,30832.0,16.0,4889.0,0.1922,0.1936,0.1922,10000328
2016-01-07 09:43:00,2016-01-07,0.2125,258347.0,125.0,4806.0,0.1936,0.2125,0.1936,10000328
2016-01-07 09:44:00,2016-01-07,0.2125,10625.0,5.0,4806.0,0.2125,0.2125,0.2125,10000328
2016-01-07 09:45:00,2016-01-07,0.2125,0.0,0.0,4806.0,0.2125,0.2125,0.2125,10000328
2016-01-07 09:46:00,2016-01-07,0.2125,0.0,0.0,4806.0,0.2125,0.2125,0.2125,10000328
2016-01-07 09:47:00,2016-01-07,0.2125,0.0,0.0,4806.0,0.2125,0.2125,0.2125,10000328
2016-01-07 09:48:00,2016-01-07,0.2125,0.0,0.0,4806.0,0.2125,0.2125,0.2125,10000328
2016-01-07 09:49:00,2016-01-07,0.2125,0.0,0.0,4806.0,0.2125,0.2125,0.2125,10000328
2016-01-07 09:50:00,2016-01-07,0.2125,0.0,0.0,4806.0,0.2125,0.2125,0.2125,10000328
2016-01-07 09:51:00,2016-01-07,0.2125,0.0,0.0,4806.0,0.2125,0.2125,0.2125,10000328
2016-01-07 09:52:00,2016-01-07,0.2125,0.0,0.0,4806.0,0.2125,0.2125,0.2125,10000328
2016-01-07 09:53:00,2016-01-07,0.2125,0.0,0.0,4806.0,0.2125,0.2125,0.2125,10000328
2016-01-07 09:54:00,2016-01-07,0.2125,0.0,0.0,4806.0,0.2125,0.2125,0.2125,10000328
2016-01-07 09:55:00,2016-01-07,0.2125,0.0,0.0,4806.0,0.2125,0.2125,0.2125,10000328
2016-01-07 09:56:00,2016-01-07,0.2125,0.0,0.0,4806.0,0.2125,0.2125,0.2125,10000328
2016-01-07 09:57:00,2016-01-07,0.2125,0.0,0.0,4806.0,0.2125,0.2125,0.2125,10000328
2016-01-07 09:58:00,2016-01-07,0.2254,2254.0,1.0,4806.0,0.2125,0.2254,0.2125,10000328
2016-01-07 09:59:00,2016-01-07,0.251,25100.0,10.0,4796.0,0.2254,0.251,0.2254,10000328
2016-01-07 10:00:00,2016-01-07,0.251,0.0,0.0,4796.0,0.251,0.251,0.251,10000328
2016-01-07 10:01:00,2016-01-07,0.251,0.0,0.0,4796.0,0.251,0.251,0.251,10000328
2016-01-07 10:02:00,2016-01-07,0.251,0.0,0.0,4796.0,0.251,0.251,0.251,10000328
2016-01-07 10:03:00,2016-01-07,0.251,0.0,0.0,4796.0,0.251,0.251,0.251,10000328
2016-01-07 10:04:00,2016-01-07,0.251,0.0,0.0,4796.0,0.251,0.251,0.251,10000328
2016-01-07 10:05:00,2016-01-07,0.251,0.0,0.0,4796.0,0.251,0.251,0.251,10000328
2016-01-07 10:06:00,2016-01-07,0.251,0.0,0.0,4796.0,0.251,0.251,0.251,10000328
2016-01-07 10:07:00,2016-01-07,0.251,0.0,0.0,4796.0,0.251,0.251,0.251,10000328
