datetime,trading_date,high,total_turnover,volume,open_interest,open,close,low,sid
2015-03-16 09:31:00,2015-03-16,0.0075,2895.0,40.0,1331.0,0.0081,0.0058,0.0058,10000009
2015-03-16 09:32:00,2015-03-16,0.006,1185.0,21.0,1334.0,0.006,0.0056,0.0055,10000009
2015-03-16 09:33:00,2015-03-16,0.006,540.0,9.0,1334.0,0.006,0.006,0.006,10000009
2015-03-16 09:34:00,2015-03-16,0.0062,620.0,10.0,1344.0,0.0062,0.0062,0.0062,10000009
2015-03-16 09:35:00,2015-03-16,0.0068,340.0,5.0,1349.0,0.0068,0.0068,0.0068,10000009
2015-03-16 09:36:00,2015-03-16,0.0068,0.0,0.0,1349.0,0.0068,0.0068,0.0068,10000009
2015-03-16 09:37:00,2015-03-16,0.0071,355.0,5.0,1344.0,0.0071,0.0071,0.0071,10000009
2015-03-16 09:38:00,2015-03-16,0.0071,0.0,0.0,1344.0,0.0071,0.0071,0.0071,10000009
2015-03-16 09:39:00,2015-03-16,0.0071,0.0,0.0,1344.0,0.0071,0.0071,0.0071,10000009
2015-03-16 09:40:00,2015-03-16,0.0071,0.0,0.0,1344.0,0.0071,0.0071,0.0071,10000009
2015-03-16 09:41:00,2015-03-16,0.0073,73.0,1.0,1345.0,0.0073,0.0073,0.0073,10000009
2015-03-16 09:42:00,2015-03-16,0.0073,0.0,0.0,1345.0,0.0073,0.0073,0.0073,10000009
2015-03-16 09:43:00,2015-03-16,0.0073,0.0,0.0,1345.0,0.0073,0.0073,0.0073,10000009
2015-03-16 09:44:00,2015-03-16,0.0073,657.0,9.0,1345.0,0.0073,0.0073,0.0073,10000009
2015-03-16 09:45:00,2015-03-16,0.0073,0.0,0.0,1345.0,0.0073,0.0073,0.0073,10000009
2015-03-16 09:46:00,2015-03-16,0.0073,0.0,0.0,1345.0,0.0073,0.0073,0.0073,10000009
2015-03-16 09:47:00,2015-03-16,0.0073,0.0,0.0,1345.0,0.0073,0.0073,0.0073,10000009
2015-03-16 09:48:00,2015-03-16,0.0074,296.0,4.0,1341.0,0.0074,0.0074,0.0074,10000009
2015-03-16 09:49:00,2015-03-16,0.0073,905.0,13.0,1333.0,0.0073,0.0069,0.0069,10000009
2015-03-16 09:50:00,2015-03-16,0.0068,738.0,11.0,1328.0,0.0068,0.0067,0.0067,10000009
2015-03-16 09:51:00,2015-03-16,0.0067,0.0,0.0,1328.0,0.0067,0.0067,0.0067,10000009
2015-03-16 09:52:00,2015-03-16,0.0067,0.0,0.0,1328.0,0.0067,0.0067,0.0067,10000009
2015-03-16 09:53:00,2015-03-16,0.0069,434.0,7.0,1327.0,0.0069,0.0059,0.0059,10000009
2015-03-16 09:54:00,2015-03-16,0.0061,366.0,6.0,1326.0,0.0061,0.0061,0.0061,10000009
2015-03-16 09:55:00,2015-03-16,0.0061,0.0,0.0,1326.0,0.0061,0.0061,0.0061,10000009
2015-03-16 09:56:00,2015-03-16,0.0061,0.0,0.0,1326.0,0.0061,0.0061,0.0061,10000009
2015-03-16 09:57:00,2015-03-16,0.0061,0.0,0.0,1326.0,0.0061,0.0061,0.0061,10000009
2015-03-16 09:58:00,2015-03-16,0.0058,586.0,10.0,1326.0,0.0058,0.0058,0.0058,10000009
2015-03-16 09:59:00,2015-03-16,0.0059,295.0,5.0,1331.0,0.0059,0.0059,0.0059,10000009
