datetime,trading_date,high,total_turnover,volume,open_interest,open,close,low,sid
2016-03-25 09:31:00,2016-03-25,0.0114,0.0,0.0,14831.0,0.0114,0.0114,0.0114,10000588
2016-03-25 09:32:00,2016-03-25,0.0104,528.0,5.0,14831.0,0.0114,0.0104,0.0104,10000588
2016-03-25 09:33:00,2016-03-25,0.0105,1778.0,17.0,14841.0,0.0104,0.0105,0.0104,10000588
2016-03-25 09:34:00,2016-03-25,0.0106,636.0,6.0,14841.0,0.0105,0.0106,0.0105,10000588
2016-03-25 09:35:00,2016-03-25,0.0106,208.0,2.0,14843.0,0.0106,0.0104,0.0104,10000588
2016-03-25 09:36:00,2016-03-25,0.0104,913.0,9.0,14850.0,0.0104,0.0101,0.0101,10000588
2016-03-25 09:37:00,2016-03-25,0.0102,3220.0,32.0,14860.0,0.0101,0.01,0.01,10000588
2016-03-25 09:38:00,2016-03-25,0.01,2693.0,27.0,14863.0,0.01,0.0099,0.0099,10000588
2016-03-25 09:39:00,2016-03-25,0.01,1384.0,14.0,14876.0,0.0099,0.0097,0.0097,10000588
2016-03-25 09:40:00,2016-03-25,0.0101,8050.0,80.0,14846.0,0.0097,0.0101,0.0097,10000588
2016-03-25 09:41:00,2016-03-25,0.0101,0.0,0.0,14846.0,0.0101,0.0101,0.0101,10000588
2016-03-25 09:42:00,2016-03-25,0.0101,0.0,0.0,14846.0,0.0101,0.0101,0.0101,10000588
2016-03-25 09:43:00,2016-03-25,0.0101,100.0,1.0,14846.0,0.0101,0.01,0.01,10000588
2016-03-25 09:44:00,2016-03-25,0.01,0.0,0.0,14846.0,0.01,0.01,0.01,10000588
2016-03-25 09:45:00,2016-03-25,0.0102,1326.0,13.0,14846.0,0.01,0.0102,0.01,10000588
2016-03-25 09:46:00,2016-03-25,0.0106,3867.0,37.0,14881.0,0.0103,0.0106,0.0103,10000588
2016-03-25 09:47:00,2016-03-25,0.0111,14555.0,133.0,14863.0,0.0109,0.0109,0.0108,10000588
2016-03-25 09:48:00,2016-03-25,0.0109,2170.0,20.0,14873.0,0.0109,0.0108,0.0108,10000588
2016-03-25 09:49:00,2016-03-25,0.0108,1070.0,10.0,14880.0,0.0108,0.0107,0.0107,10000588
2016-03-25 09:50:00,2016-03-25,0.0107,106.0,1.0,14881.0,0.0107,0.0106,0.0106,10000588
2016-03-25 09:51:00,2016-03-25,0.0107,2536.0,24.0,14905.0,0.0106,0.0105,0.0105,10000588
2016-03-25 09:52:00,2016-03-25,0.0105,945.0,9.0,14914.0,0.0105,0.0105,0.0105,10000588
2016-03-25 09:53:00,2016-03-25,0.0105,105.0,1.0,14915.0,0.0105,0.0105,0.0105,10000588
2016-03-25 09:54:00,2016-03-25,0.0105,0.0,0.0,14915.0,0.0105,0.0105,0.0105,10000588
2016-03-25 09:55:00,2016-03-25,0.0105,0.0,0.0,14915.0,0.0105,0.0105,0.0105,10000588
2016-03-25 09:56:00,2016-03-25,0.0105,0.0,0.0,14915.0,0.0105,0.0105,0.0105,10000588
2016-03-25 09:57:00,2016-03-25,0.0105,306.0,3.0,14915.0,0.0105,0.0102,0.0102,10000588
2016-03-25 09:58:00,2016-03-25,0.0102,500.0,5.0,14920.0,0.0102,0.01,0.01,10000588
2016-03-25 09:59:00,2016-03-25,0.01,0.0,0.0,14920.0,0.01,0.01,0.01,10000588
2016-03-25 10:00:00,2016-03-25,0.0103,1030.0,10.0,14925.0,0.01,0.0103,0.01,10000588
2016-03-25 10:01:00,2016-03-25,0.0103,909.0,9.0,14930.0,0.0103,0.0101,0.0101,10000588
2016-03-25 10:02:00,2016-03-25,0.0101,4206.0,43.0,14964.0,0.0101,0.0097,0.0097,10000588
2016-03-25 10:03:00,2016-03-25,0.0097,1411.0,15.0,14966.0,0.0097,0.0093,0.0093,10000588
2016-03-25 10:04:00,2016-03-25,0.0099,99.0,1.0,14966.0,0.0093,0.0099,0.0093,10000588
2016-03-25 10:05:00,2016-03-25,0.0099,94.0,1.0,14967.0,0.0099,0.0094,0.0094,10000588
2016-03-25 10:06:00,2016-03-25,0.0094,0.0,0.0,14967.0,0.0094,0.0094,0.0094,10000588
2016-03-25 10:07:00,2016-03-25,0.0099,99.0,1.0,14968.0,0.0094,0.0099,0.0094,10000588
2016-03-25 10:08:00,2016-03-25,0.0099,1056.0,11.0,14969.0,0.0099,0.0096,0.0096,10000588
2016-03-25 10:09:00,2016-03-25,0.0096,960.0,10.0,14979.0,0.0096,0.0096,0.0096,10000588
2016-03-25 10:10:00,2016-03-25,0.0098,685.0,7.0,14980.0,0.0096,0.0097,0.0096,10000588
2016-03-25 10:11:00,2016-03-25,0.0099,2354.0,24.0,14972.0,0.0097,0.0098,0.0097,10000588
2016-03-25 10:12:00,2016-03-25,0.0099,4663.0,48.0,14947.0,0.0098,0.0097,0.0097,10000588
